newsId;idOriginal
1;1010
2;1128
3;1218
4;1245
5;1246
6;1247
7;1251
8;1253
9;1254
10;1255
11;1256
12;1257
13;1258
14;1260
15;1263
16;1264
17;1265
18;1267
19;1272
20;1274
21;1276
22;1278
23;1279
24;1280
25;1282
26;1284
27;1285
28;1287
29;1288
30;1290
31;1291
32;1294
33;1298
34;1300
35;1301
36;1303
37;1304
38;1306
39;1308
40;1309
41;1310
42;1311
43;1312
44;1313
45;1314
46;1316
47;1317
48;1318
49;1319
50;1320
51;1321
52;1323
53;1325
54;1326
55;1328
56;1334
57;1338
58;1340
59;1343
60;1344
61;1350
62;1356
63;1357
64;1360
65;1379
66;1380
67;1382
68;1394
69;1395
70;1398
71;1399
72;1400
73;1401
74;1404
75;1405
76;1406
77;1407
78;1410
79;1412
80;1413
81;1414
82;1415
83;1416
84;1417
85;1418
86;1419
87;1421
88;1422
89;1423
90;1427
91;1430
92;1433
93;1438
94;1439
95;1442
96;1445
97;1447
98;1459
99;1460
100;1462
101;1465
102;1468
103;1515
104;1517
105;1519
106;1521
107;1524
108;1525
109;1526
110;1527
111;1529
112;1538
113;1539
114;1540
115;1542
116;1548
117;1549
118;1550
119;1551
120;1552
121;1554
122;1555
123;1556
124;1557
125;1562
126;1565
127;1567
128;1568
129;1573
130;1575
131;1578
132;1609
133;1619
134;1622
135;1627
136;1634
137;1636
138;1637
139;1638
140;1640
141;1642
142;1643
143;1668
144;1673
145;1693
146;1694
147;1696
148;1697
149;1698
150;1703
151;1704
152;1714
153;1718
154;1719
155;1720
156;1721
157;1722
158;1725
159;1726
160;1727
161;1728
162;1729
163;1736
164;1752
165;1753
166;1757
167;1758
168;1759
169;1762
170;1767
171;1768
172;1773
173;1775
174;1776
175;1778
176;1779
177;1783
178;1786
179;1787
180;1791
181;1793
182;1813
183;1814
184;1815
185;1816
186;1817
187;1818
188;1823
189;1826
190;1832
191;1839
192;1840
193;1845
194;1846
195;1848
196;1849
197;1850
198;1854
199;1857
200;1863
201;1878
202;1882
203;1883
204;1889
205;1890
206;1891
207;1895
208;1896
209;1901
210;1926
211;1933
212;1935
213;1944
214;1945
215;1957
216;1961
217;1962
218;1963
219;1964
220;1965
221;1966
222;1967
223;1978
224;2004
225;2005
226;2015
227;2018
228;2022
229;2023
230;2027
231;2033
232;2036
233;2037
234;2039
235;2040
236;2043
237;2050
238;2074
239;2075
240;2079
241;2081
242;2087
243;2091
244;2093
245;2096
246;2102
247;2103
248;2105
249;2107
250;2111
251;2114
252;2132
253;2150
254;2159
255;2160
256;2161
257;2162
258;2163
259;2165
260;2166
261;2167
262;2168
263;2170
264;2171
265;2180
266;2183
267;2184
268;2197
269;2204
270;2219
271;2222
272;2223
273;2225
274;2226
275;2228
276;2231
277;2232
278;2234
279;2238
280;2244
281;2245
282;2247
283;2250
284;2252
285;2253
286;2257
287;2258
288;2263
289;2267
290;2273
291;2277
292;2303
293;2306
294;2309
295;2311
296;312
297;488
298;559
299;834
300;920
301;1
302;1002
303;1007
304;1009
305;1012
306;1013
307;1019
308;1020
309;1023
310;1024
311;1025
312;1027
313;1029
314;103
315;1030
316;1034
317;1038
318;1043
319;1046
320;106
321;1065
322;1068
323;107
324;1071
325;1079
326;1080
327;1084
328;1090
329;1099
330;1100
331;1104
332;1110
333;1114
334;1119
335;112
336;1121
337;113
338;1131
339;1132
340;1141
341;1142
342;1143
343;1146
344;1149
345;1153
346;116
347;1171
348;1178
349;1180
350;1187
351;1197
352;1199
353;120
354;1210
355;1213
356;1215
357;1227
358;1228
359;1229
360;1230
361;1231
362;1233
363;1234
364;127
365;129
366;130
367;131
368;133
369;138
370;1385
371;1386
372;1387
373;14
374;1495
375;1496
376;1497
377;15
378;1500
379;1501
380;155
381;157
382;158
383;159
384;1600
385;162
386;1661
387;1665
388;1667
389;1678
390;1679
391;171
392;174
393;1741
394;1746
395;176
396;177
397;178
398;18
399;180
400;1801
401;1803
402;181
403;182
404;184
405;185
406;1873
407;1875
408;1876
409;1877
410;188
411;189
412;190
413;1911
414;1916
415;1920
416;1921
417;1923
418;194
419;196
420;198
421;199
422;1995
423;200
424;2000
425;202
426;2064
427;2072
428;213
429;2143
430;2144
431;2149
432;219
433;220
434;221
435;228
436;239
437;242
438;250
439;254
440;255
441;258
442;26
443;261
444;262
445;265
446;268
447;27
448;271
449;272
450;277
451;278
452;282
453;285
454;287
455;29
456;294
457;295
458;296
459;299
460;3
461;300
462;301
463;303
464;307
465;308
466;310
467;311
468;314
469;317
470;32
471;322
472;324
473;328
474;354
475;36
476;37
477;38
478;409
479;42
480;432
481;44
482;478
483;49
484;490
485;497
486;499
487;547
488;548
489;556
490;564
491;570
492;576
493;583
494;585
495;588
496;597
497;60
498;609
499;615
500;619
501;624
502;626
503;627
504;63
505;631
506;632
507;634
508;638
509;64
510;651
511;658
512;659
513;660
514;663
515;665
516;669
517;673
518;681
519;687
520;693
521;7
522;701
523;704
524;707
525;708
526;71
527;711
528;712
529;722
530;724
531;725
532;732
533;736
534;737
535;74
536;744
537;757
538;758
539;764
540;767
541;77
542;782
543;798
544;80
545;805
546;807
547;816
548;819
549;820
550;821
551;822
552;823
553;824
554;826
555;827
556;828
557;83
558;831
559;837
560;838
561;840
562;842
563;849
564;85
565;855
566;856
567;86
568;860
569;868
570;87
571;871
572;873
573;874
574;875
575;876
576;880
577;885
578;888
579;892
580;90
581;928
582;94
583;952
584;954
585;955
586;956
587;964
588;969
589;97
590;972
591;974
592;976
593;977
594;978
595;979
596;983
597;985
598;99
599;993
600;994
